Date.Time,Unit,Value
2016-11-14 19:45:44,C,34.3
2016-11-14 19:48:44,C,34.1
2016-11-14 19:51:44,C,34.2
2016-11-14 19:54:44,C,34.2
2016-11-14 19:57:44,C,34.1
2016-11-14 20:00:44,C,33.9
2016-11-14 20:03:44,C,33.5
2016-11-14 20:06:44,C,33.6
2016-11-14 20:09:44,C,33.8
2016-11-14 20:12:44,C,33.7
2016-11-14 20:15:44,C,33.5
2016-11-14 20:18:44,C,33.4
2016-11-14 20:21:44,C,34
2016-11-14 20:24:44,C,34.1
2016-11-14 20:27:44,C,33.7
2016-11-14 20:30:44,C,33.8
2016-11-14 20:33:44,C,34.1
2016-11-14 20:36:44,C,33.9
2016-11-14 20:39:44,C,33.6
2016-11-14 20:42:44,C,33.6
2016-11-14 20:45:44,C,33.3
2016-11-14 20:48:44,C,33.3
2016-11-14 20:51:44,C,33
2016-11-14 20:54:44,C,33.1
2016-11-14 20:57:44,C,33.1
2016-11-14 21:00:44,C,33
2016-11-14 21:03:44,C,33.2
2016-11-14 21:06:44,C,33.3
2016-11-14 21:09:44,C,33
2016-11-14 21:12:44,C,33
2016-11-14 21:15:44,C,32.9
2016-11-14 21:18:44,C,32.9
2016-11-14 21:21:44,C,32.5
2016-11-14 21:24:44,C,32.7
2016-11-14 21:27:44,C,32.2
2016-11-14 21:30:44,C,32
2016-11-14 21:33:44,C,31.6
2016-11-14 21:36:44,C,31.7
2016-11-14 21:39:44,C,31.5
2016-11-14 21:42:44,C,31.4
2016-11-14 21:45:44,C,31.4
2016-11-14 21:48:44,C,31.4
2016-11-14 21:51:44,C,31.4
2016-11-14 21:54:44,C,31.2
2016-11-14 21:57:44,C,30.9
2016-11-14 22:00:44,C,30.7
2016-11-14 22:03:44,C,30.8
2016-11-14 22:06:44,C,31
2016-11-14 22:09:44,C,31.6
2016-11-14 22:12:44,C,30.7
2016-11-14 22:15:44,C,30.9
2016-11-14 22:18:44,C,30.2
2016-11-14 22:21:44,C,31
2016-11-14 22:24:44,C,30.7
2016-11-14 22:27:44,C,30.7
2016-11-14 22:30:44,C,30.9
2016-11-14 22:33:44,C,30.4
2016-11-14 22:36:44,C,30.2
2016-11-14 22:39:44,C,30.1
2016-11-14 22:42:44,C,30.1
2016-11-14 22:45:44,C,30.5
2016-11-14 22:48:44,C,29.8
2016-11-14 22:51:44,C,29.6
2016-11-14 22:54:44,C,29.6
2016-11-14 22:57:44,C,29.5
2016-11-14 23:00:44,C,28.9
2016-11-14 23:03:44,C,29.5
2016-11-14 23:06:44,C,29.3
2016-11-14 23:09:44,C,29.4
2016-11-14 23:12:44,C,29.8
2016-11-14 23:15:44,C,29.6
2016-11-14 23:18:44,C,29.2
2016-11-14 23:21:44,C,29.3
2016-11-14 23:24:44,C,29.1
2016-11-14 23:27:44,C,29.1
2016-11-14 23:30:44,C,29
2016-11-14 23:33:44,C,29
2016-11-14 23:36:44,C,29
2016-11-14 23:39:44,C,29
2016-11-14 23:42:44,C,28.9
2016-11-14 23:45:44,C,28.7
2016-11-14 23:48:44,C,28.7
2016-11-14 23:51:44,C,28.8
2016-11-14 23:54:44,C,28.4
2016-11-14 23:57:44,C,28.5
2016-11-15 00:00:44,C,29.1
2016-11-15 00:03:44,C,29.3
2016-11-15 00:06:44,C,29.4
